year,state,candidate,party,candidatevotes,totalvotes
1976,Wisconsin,"Carter, Jimmy",democrat,1040232,2101336
1980,Wisconsin,"Reagan, Ronald",republican,1088845,2273221
1984,Wisconsin,"Reagan, Ronald",republican,1198584,2211689
1988,Wisconsin,"Dukakis, Michael",democrat,1126794,2191608
1992,Wisconsin,"Clinton, Bill",democrat,1041066,2531064
1996,Wisconsin,"Clinton, Bill",democrat,1071971,2196169
2000,Wisconsin,"Gore, Al",democrat,1242987,2598607
2004,Wisconsin,"Kerry, John",democrat,1489504,2997007
2008,Wisconsin,"Obama, Barack H.",democrat,1677211,2983417
2012,Wisconsin,"Obama, Barack H.",democrat,1620985,3071434
2016,Wisconsin,"Trump, Donald J.",republican,1405284,2976150
1976,Wyoming,"Ford, Gerald",republican,92717,156343
1980,Wyoming,"Reagan, Ronald",republican,110700,176713
1984,Wyoming,"Reagan, Ronald",republican,133241,188968
1988,Wyoming,"Bush, George H.W.",republican,106867,176551
1992,Wyoming,"Bush, George H.W.",republican,79347,199884
1996,Wyoming,"Dole, Robert",republican,105388,211571
2000,Wyoming,"Bush, George W.",republican,147947,213726
2004,Wyoming,"Bush, George W.",republican,167629,243861
2008,Wyoming,"McCain, John",republican,164958,254904
2012,Wyoming,"Romney, Mitt",republican,170962,250701
2016,Wyoming,"Trump, Donald J.",republican,174419,258788
