year,state,state_po,county,fips,office,candidate,party,candidatevotes,totalvotes,version
2016,South Carolina,SC,Georgetown,45043,President,Other,NA,958,31657,20191203
2016,South Carolina,SC,Greenville,45045,President,Hillary Clinton,democrat,74483,215165,20191203
2016,South Carolina,SC,Greenwood,45047,President,Donald Trump,republican,16961,28763,20191203
2016,South Carolina,SC,Hampton,45049,President,Hillary Clinton,democrat,5170,8806,20191203
2016,South Carolina,SC,Horry,45051,President,Donald Trump,republican,89288,132920,20191203
2016,South Carolina,SC,Jasper,45053,President,Hillary Clinton,democrat,5956,11427,20191203
2016,South Carolina,SC,Kershaw,45055,President,Donald Trump,republican,17542,28995,20191203
2016,South Carolina,SC,Lancaster,45057,President,Donald Trump,republican,23719,38938,20191203
2016,South Carolina,SC,Laurens,45059,President,Hillary Clinton,democrat,8889,26566,20191203
2016,South Carolina,SC,Lee,45061,President,Hillary Clinton,democrat,5199,8156,20191203
2016,South Carolina,SC,Lexington,45063,President,Donald Trump,republican,80026,122093,20191203
2016,South Carolina,SC,McCormick,45065,President,Other,NA,85,5216,20191203
2016,South Carolina,SC,Marion,45067,President,Hillary Clinton,democrat,8569,14276,20191203
2016,South Carolina,SC,Marlboro,45069,President,Hillary Clinton,democrat,5954,10389,20191203
2016,South Carolina,SC,Newberry,45071,President,Hillary Clinton,democrat,6217,16807,20191203
2016,South Carolina,SC,Oconee,45073,President,Hillary Clinton,democrat,7998,33635,20191203
2016,South Carolina,SC,Orangeburg,45075,President,Other,NA,661,38910,20191203
2016,South Carolina,SC,Pickens,45077,President,Donald Trump,republican,36236,49049,20191203
2016,South Carolina,SC,Richland,45079,President,Other,NA,8253,168722,20191203
2016,South Carolina,SC,Saluda,45081,President,Donald Trump,republican,5526,8564,20191203
2016,South Carolina,SC,Spartanburg,45083,President,Donald Trump,republican,76277,121090,20191203
2016,South Carolina,SC,Sumter,45085,President,Hillary Clinton,democrat,24047,44086,20191203
2016,South Carolina,SC,Union,45087,President,Donald Trump,republican,7061,12092,20191203
2016,South Carolina,SC,Williamsburg,45089,President,Hillary Clinton,democrat,9953,15054,20191203
2016,South Carolina,SC,York,45091,President,Donald Trump,republican,66754,114357,20191203
2016,South Dakota,SD,Aurora,46003,President,Donald Trump,republican,974,1407,20191203
2016,South Dakota,SD,Beadle,46005,President,Donald Trump,republican,4455,6772,20191203
2016,South Dakota,SD,Bennett,46007,President,Other,NA,71,1149,20191203
2016,South Dakota,SD,Bon Homme,46009,President,Hillary Clinton,democrat,704,2974,20191203
2016,South Dakota,SD,Brookings,46011,President,Donald Trump,republican,6748,12680,20191203
2016,South Dakota,SD,Brown,46013,President,Donald Trump,republican,9613,16114,20191203
2016,South Dakota,SD,Brule,46015,President,Hillary Clinton,democrat,571,2288,20191203
2016,South Dakota,SD,Buffalo,46017,President,Hillary Clinton,democrat,296,490,20191203
2016,South Dakota,SD,Butte,46019,President,Hillary Clinton,democrat,696,4351,20191203
2016,South Dakota,SD,Campbell,46021,President,Donald Trump,republican,704,831,20191203
2016,South Dakota,SD,Charles Mix,46023,President,Hillary Clinton,democrat,935,3433,20191203
2016,South Dakota,SD,Clark,46025,President,Hillary Clinton,democrat,398,1657,20191203
2016,South Dakota,SD,Clay,46027,President,Other,NA,352,5069,20191203
2016,South Dakota,SD,Codington,46029,President,Donald Trump,republican,7764,11669,20191203
2016,South Dakota,SD,Corson,46031,President,Donald Trump,republican,588,1175,20191203
2016,South Dakota,SD,Custer,46033,President,Donald Trump,republican,3293,4721,20191203
2016,South Dakota,SD,Davison,46035,President,Donald Trump,republican,5157,7952,20191203
2016,South Dakota,SD,Day,46037,President,Hillary Clinton,democrat,974,2747,20191203
2016,South Dakota,SD,Deuel,46039,President,Hillary Clinton,democrat,570,2080,20191203
2016,South Dakota,SD,Dewey,46041,President,Other,NA,97,1708,20191203
2016,South Dakota,SD,Douglas,46043,President,Other,NA,53,1605,20191203
2016,South Dakota,SD,Edmunds,46045,President,Hillary Clinton,democrat,380,1918,20191203
2016,South Dakota,SD,Fall River,46047,President,Hillary Clinton,democrat,821,3563,20191203
2016,South Dakota,SD,Faulk,46049,President,Donald Trump,republican,858,1118,20191203
2016,South Dakota,SD,Grant,46051,President,Hillary Clinton,democrat,971,3564,20191203
2016,South Dakota,SD,Gregory,46053,President,Hillary Clinton,democrat,391,2091,20191203
2016,South Dakota,SD,Haakon,46055,President,Donald Trump,republican,936,1044,20191203
2016,South Dakota,SD,Hamlin,46057,President,Hillary Clinton,democrat,555,2762,20191203
2016,South Dakota,SD,Hand,46059,President,Other,NA,93,1818,20191203
2016,South Dakota,SD,Hanson,46061,President,Other,NA,85,2006,20191203
2016,South Dakota,SD,Harding,46063,President,Donald Trump,republican,695,770,20191203
2016,South Dakota,SD,Hughes,46065,President,Other,NA,551,8175,20191203
2016,South Dakota,SD,Hutchinson,46067,President,Hillary Clinton,democrat,692,3365,20191203
2016,South Dakota,SD,Hyde,46069,President,Donald Trump,republican,543,690,20191203
2016,South Dakota,SD,Jackson,46071,President,Donald Trump,republican,722,1095,20191203
2016,South Dakota,SD,Jerauld,46073,President,Donald Trump,republican,648,967,20191203
2016,South Dakota,SD,Jones,46075,President,Hillary Clinton,democrat,69,558,20191203
2016,South Dakota,SD,Kingsbury,46077,President,Hillary Clinton,democrat,703,2551,20191203
2016,South Dakota,SD,Lake,46079,President,Other,NA,434,6786,20191203
2016,South Dakota,SD,Lawrence,46081,President,Donald Trump,republican,7411,11842,20191203
2016,South Dakota,SD,Lincoln,46083,President,Hillary Clinton,democrat,8076,25231,20191203
2016,South Dakota,SD,Lyman,46085,President,Donald Trump,republican,977,1421,20191203
2016,South Dakota,SD,McCook,46087,President,Hillary Clinton,democrat,623,2587,20191203
2016,South Dakota,SD,McPherson,46089,President,Donald Trump,republican,892,1137,20191203
2016,South Dakota,SD,Marshall,46091,President,Hillary Clinton,democrat,754,1947,20191203
2016,South Dakota,SD,Meade,46093,President,Other,NA,957,11621,20191203
2016,South Dakota,SD,Mellette,46095,President,Other,NA,43,683,20191203
2016,South Dakota,SD,Miner,46097,President,Other,NA,77,1064,20191203
2016,South Dakota,SD,Minnehaha,46099,President,Other,NA,5610,78263,20191203
2016,South Dakota,SD,Moody,46101,President,Donald Trump,republican,1731,2933,20191203
2016,South Dakota,SD,Pennington,46103,President,Other,NA,3865,47743,20191203
2016,South Dakota,SD,Perkins,46105,President,Other,NA,85,1606,20191203
2016,South Dakota,SD,Potter,46107,President,Other,NA,51,1337,20191203
2016,South Dakota,SD,Roberts,46109,President,Donald Trump,republican,2144,3889,20191203
2016,South Dakota,SD,Sanborn,46111,President,Donald Trump,republican,819,1123,20191203
2016,South Dakota,SD,Oglala Lakota,46113,President,Hillary Clinton,democrat,2510,2905,20191203
2016,South Dakota,SD,Spink,46115,President,Hillary Clinton,democrat,919,2951,20191203
2016,South Dakota,SD,Stanley,46117,President,Other,NA,90,1567,20191203
2016,South Dakota,SD,Sully,46119,President,Donald Trump,republican,679,861,20191203
2016,South Dakota,SD,Todd,46121,President,Donald Trump,republican,487,2125,20191203
2016,South Dakota,SD,Tripp,46123,President,Other,NA,99,2630,20191203
2016,South Dakota,SD,Turner,46125,President,Hillary Clinton,democrat,961,4150,20191203
2016,South Dakota,SD,Union,46127,President,Donald Trump,republican,5290,7897,20191203
2016,South Dakota,SD,Walworth,46129,President,Hillary Clinton,democrat,457,2477,20191203
2016,South Dakota,SD,Yankton,46135,President,Other,NA,663,9623,20191203
2016,South Dakota,SD,Ziebach,46137,President,Other,NA,46,767,20191203
2016,Tennessee,TN,Anderson,47001,President,Hillary Clinton,democrat,9013,29881,20191203
2016,Tennessee,TN,Bedford,47003,President,Other,NA,474,15355,20191203
2016,Tennessee,TN,Benton,47005,President,Donald Trump,republican,4716,6328,20191203
2016,Tennessee,TN,Bledsoe,47007,President,Hillary Clinton,democrat,897,4664,20191203
2016,Tennessee,TN,Blount,47009,President,Donald Trump,republican,37443,52208,20191203
2016,Tennessee,TN,Bradley,47011,President,Hillary Clinton,democrat,7070,38666,20191203
2016,Tennessee,TN,Campbell,47013,President,Donald Trump,republican,9870,12532,20191203
2016,Tennessee,TN,Cannon,47015,President,Donald Trump,republican,4007,5314,20191203
2016,Tennessee,TN,Carroll,47017,President,Donald Trump,republican,7756,10384,20191203
2016,Tennessee,TN,Carter,47019,President,Other,NA,733,21084,20191203
2016,Tennessee,TN,Cheatham,47021,President,Other,NA,749,15924,20191203
2016,Tennessee,TN,Chester,47023,President,Donald Trump,republican,5081,6507,20191203
2016,Tennessee,TN,Claiborne,47025,President,Donald Trump,republican,8602,10740,20191203
2016,Tennessee,TN,Clay,47027,President,Other,NA,72,2920,20191203
2016,Tennessee,TN,Cocke,47029,President,Donald Trump,republican,9791,12126,20191203
2016,Tennessee,TN,Coffee,47031,President,Other,NA,811,19971,20191203
2016,Tennessee,TN,Crockett,47033,President,Donald Trump,republican,3982,5397,20191203
2016,Tennessee,TN,Davidson,47037,President,Donald Trump,republican,84550,249068,20191203
2016,Tennessee,TN,Decatur,47039,President,Hillary Clinton,democrat,894,4592,20191203
2016,Tennessee,TN,DeKalb,47041,President,Donald Trump,republican,5171,6955,20191203
2016,Tennessee,TN,Dickson,47043,President,Other,NA,744,18699,20191203
2016,Tennessee,TN,Dyer,47045,President,Other,NA,340,13336,20191203
2016,Tennessee,TN,Fayette,47047,President,Hillary Clinton,democrat,5874,19394,20191203
2016,Tennessee,TN,Fentress,47049,President,Donald Trump,republican,6038,7333,20191203
2016,Tennessee,TN,Franklin,47051,President,Other,NA,498,16404,20191203
2016,Tennessee,TN,Gibson,47053,President,Hillary Clinton,democrat,5258,19547,20191203
2016,Tennessee,TN,Giles,47055,President,Donald Trump,republican,7970,11137,20191203
2016,Tennessee,TN,Grainger,47057,President,Donald Trump,republican,6626,8008,20191203
2016,Tennessee,TN,Greene,47059,President,Other,NA,805,23583,20191203
2016,Tennessee,TN,Grundy,47061,President,Hillary Clinton,democrat,999,4763,20191203
2016,Tennessee,TN,Hamblen,47063,President,Other,NA,760,20692,20191203
2016,Tennessee,TN,Hamilton,47065,President,Other,NA,8359,142408,20191203
2016,Tennessee,TN,Hancock,47067,President,Other,NA,66,2231,20191203
2016,Tennessee,TN,Hardeman,47069,President,Donald Trump,republican,4919,9273,20191203
2016,Tennessee,TN,Hardin,47071,President,Donald Trump,republican,8012,9949,20191203
2016,Tennessee,TN,Hawkins,47073,President,Other,NA,619,20774,20191203
2016,Tennessee,TN,Haywood,47075,President,Hillary Clinton,democrat,3711,6834,20191203
2016,Tennessee,TN,Henderson,47077,President,Donald Trump,republican,8138,10217,20191203
2016,Tennessee,TN,Henry,47079,President,Donald Trump,republican,9508,12945,20191203
2016,Tennessee,TN,Hickman,47081,President,Donald Trump,republican,5695,7813,20191203
2016,Tennessee,TN,Houston,47083,President,Hillary Clinton,democrat,866,3168,20191203
2016,Tennessee,TN,Humphreys,47085,President,Donald Trump,republican,4930,7153,20191203
2016,Tennessee,TN,Jackson,47087,President,Donald Trump,republican,3236,4466,20191203
2016,Tennessee,TN,Jefferson,47089,President,Other,NA,802,19072,20191203
2016,Tennessee,TN,Johnson,47091,President,Hillary Clinton,democrat,988,6579,20191203
2016,Tennessee,TN,Knox,47093,President,Hillary Clinton,democrat,62878,180697,20191203
2016,Tennessee,TN,Lake,47095,President,Hillary Clinton,democrat,577,1970,20191203
2016,Tennessee,TN,Lauderdale,47097,President,Donald Trump,republican,4884,8087,20191203
2016,Tennessee,TN,Lawrence,47099,President,Other,NA,425,15666,20191203
2016,Tennessee,TN,Lewis,47101,President,Hillary Clinton,democrat,890,4622,20191203
2016,Tennessee,TN,Lincoln,47103,President,Other,NA,396,13348,20191203
2016,Tennessee,TN,Loudon,47105,President,Other,NA,862,23391,20191203
2016,Tennessee,TN,McMinn,47107,President,Other,NA,554,18755,20191203
2016,Tennessee,TN,McNairy,47109,President,Donald Trump,republican,7841,10038,20191203
2016,Tennessee,TN,Macon,47111,President,Donald Trump,republican,6263,7504,20191203
2016,Tennessee,TN,Madison,47113,President,Donald Trump,republican,21335,38120,20191203
2016,Tennessee,TN,Marion,47115,President,Donald Trump,republican,7696,10862,20191203
2016,Tennessee,TN,Marshall,47117,President,Donald Trump,republican,8184,11455,20191203
2016,Tennessee,TN,Maury,47119,President,Donald Trump,republican,23799,35369,20191203
2016,Tennessee,TN,Meigs,47121,President,Hillary Clinton,democrat,856,4320,20191203
2016,Tennessee,TN,Monroe,47123,President,Other,NA,533,17093,20191203
2016,Tennessee,TN,Montgomery,47125,President,Other,NA,3580,57620,20191203
2016,Tennessee,TN,Moore,47127,President,Hillary Clinton,democrat,496,2926,20191203
2016,Tennessee,TN,Morgan,47129,President,Donald Trump,republican,5441,6705,20191203
2016,Tennessee,TN,Obion,47131,President,Donald Trump,republican,9526,12249,20191203
2016,Tennessee,TN,Overton,47133,President,Donald Trump,republican,6059,8229,20191203
2016,Tennessee,TN,Perry,47135,President,Other,NA,91,2855,20191203
2016,Tennessee,TN,Pickett,47137,President,Other,NA,58,2615,20191203
2016,Texas,TX,Kerr,48265,President,Other,NA,889,23297,20191203
2016,Tennessee,TN,Polk,47139,President,Donald Trump,republican,5097,6520,20191203
2016,Tennessee,TN,Putnam,47141,President,Hillary Clinton,democrat,6851,27212,20191203
2016,Tennessee,TN,Rhea,47143,President,Donald Trump,republican,8660,11062,20191203
2016,Tennessee,TN,Roane,47145,President,Other,NA,952,21669,20191203
2016,Tennessee,TN,Robertson,47147,President,Hillary Clinton,democrat,6637,27113,20191203
2016,Tennessee,TN,Rutherford,47149,President,Donald Trump,republican,64515,107436,20191203
2016,Tennessee,TN,Scott,47151,President,Hillary Clinton,democrat,934,7123,20191203
2016,Tennessee,TN,Sequatchie,47153,President,Donald Trump,republican,4441,5694,20191203
2016,Tennessee,TN,Sevier,47155,President,Hillary Clinton,democrat,6297,36312,20191203
2016,Tennessee,TN,Shelby,47157,President,Hillary Clinton,democrat,208992,337383,20191203
2016,Tennessee,TN,Smith,47159,President,Donald Trump,republican,5494,7436,20191203
2016,Tennessee,TN,Stewart,47161,President,Donald Trump,republican,3864,5299,20191203
2016,Tennessee,TN,Sullivan,47163,President,Donald Trump,republican,46979,62278,20191203
2016,Tennessee,TN,Sumner,47165,President,Donald Trump,republican,50129,71505,20191203
2016,Tennessee,TN,Tipton,47167,President,Other,NA,786,23481,20191203
2016,Tennessee,TN,Trousdale,47169,President,Hillary Clinton,democrat,946,3160,20191203
2016,Tennessee,TN,Unicoi,47171,President,Donald Trump,republican,5671,7195,20191203
2016,Tennessee,TN,Union,47173,President,Donald Trump,republican,5053,6247,20191203
2016,Tennessee,TN,Van Buren,47175,President,Other,NA,60,2419,20191203
2016,Tennessee,TN,Warren,47177,President,Donald Trump,republican,9540,13612,20191203
2016,Tennessee,TN,Washington,47179,President,Donald Trump,republican,34252,49750,20191203
2016,Tennessee,TN,Wayne,47181,President,Hillary Clinton,democrat,717,5857,20191203
2016,Tennessee,TN,Weakley,47183,President,Donald Trump,republican,9008,12184,20191203
2016,Tennessee,TN,White,47185,President,Donald Trump,republican,7671,9825,20191203
2016,Tennessee,TN,Williamson,47187,President,Other,NA,7046,106271,20191203
2016,Tennessee,TN,Wilson,47189,President,Donald Trump,republican,39406,56734,20191203
2016,Texas,TX,Anderson,48001,President,Other,NA,407,16977,20191203
2016,Texas,TX,Andrews,48003,President,Hillary Clinton,democrat,836,4943,20191203
2016,Texas,TX,Angelina,48005,President,Hillary Clinton,democrat,7538,29911,20191203
2016,Texas,TX,Aransas,48007,President,Donald Trump,republican,7740,10512,20191203
2016,Texas,TX,Archer,48009,President,Hillary Clinton,democrat,394,4283,20191203
2016,Texas,TX,Armstrong,48011,President,Donald Trump,republican,924,1021,20191203
2016,Texas,TX,Atascosa,48013,President,Donald Trump,republican,8618,13673,20191203
2016,Texas,TX,Austin,48015,President,Donald Trump,republican,9637,12274,20191203
2016,Texas,TX,Bailey,48017,President,Other,NA,52,1793,20191203
2016,Texas,TX,Bandera,48019,President,Donald Trump,republican,8163,10218,20191203
2016,Texas,TX,Bastrop,48021,President,Donald Trump,republican,16328,28454,20191203
2016,Texas,TX,Baylor,48023,President,Other,NA,41,1499,20191203
2016,Texas,TX,Bee,48025,President,Donald Trump,republican,4744,8485,20191203
2016,Texas,TX,Bell,48027,President,Donald Trump,republican,51998,94994,20191203
2016,Texas,TX,Bexar,48029,President,Hillary Clinton,democrat,319550,589645,20191203
2016,Texas,TX,Blanco,48031,President,Donald Trump,republican,4212,5685,20191203
2016,Texas,TX,Borden,48033,President,Other,NA,4,365,20191203
2016,Texas,TX,Bosque,48035,President,Donald Trump,republican,6339,7838,20191203
2016,Texas,TX,Bowie,48037,President,Hillary Clinton,democrat,8838,34602,20191203
2016,Texas,TX,Brazoria,48039,President,Donald Trump,republican,72791,121181,20191203
2016,Texas,TX,Brazos,48041,President,Other,NA,5352,67211,20191203
2016,Texas,TX,Brewster,48043,President,Other,NA,302,4252,20191203
2016,Texas,TX,Briscoe,48045,President,Hillary Clinton,democrat,91,736,20191203
2016,Texas,TX,Brooks,48047,President,Donald Trump,republican,613,2596,20191203
2016,Texas,TX,Brown,48049,President,Other,NA,388,14026,20191203
2016,Texas,TX,Burleson,48051,President,Donald Trump,republican,5316,6960,20191203
2016,Texas,TX,Burnet,48053,President,Other,NA,769,19204,20191203
2016,Texas,TX,Caldwell,48055,President,Donald Trump,republican,6691,12092,20191203
2016,Texas,TX,Calhoun,48057,President,Donald Trump,republican,4638,6965,20191203
2016,Texas,TX,Callahan,48059,President,Hillary Clinton,democrat,569,5579,20191203
2016,Texas,TX,Cameron,48061,President,Hillary Clinton,democrat,59402,92079,20191203
2016,Texas,TX,Camp,48063,President,Other,NA,81,4542,20191203
2016,Texas,TX,Carson,48065,President,Other,NA,95,2964,20191203
2016,Texas,TX,Cass,48067,President,Donald Trump,republican,9726,12344,20191203
2016,Texas,TX,Castro,48069,President,Other,NA,57,1997,20191203
2016,Texas,TX,Chambers,48071,President,Other,NA,499,16786,20191203
2016,Texas,TX,Cherokee,48073,President,Other,NA,402,16790,20191203
2016,Texas,TX,Childress,48075,President,Other,NA,29,2084,20191203
2016,Texas,TX,Clay,48077,President,Hillary Clinton,democrat,536,5018,20191203
2016,Texas,TX,Cochran,48079,President,Donald Trump,republican,679,901,20191203
2016,Texas,TX,Coke,48081,President,Other,NA,18,1423,20191203
2016,Texas,TX,Coleman,48083,President,Other,NA,78,3643,20191203
2016,Texas,TX,Collin,48085,President,Donald Trump,republican,201014,361419,20191203
2016,Texas,TX,Collingsworth,48087,President,Donald Trump,republican,983,1156,20191203
2016,Texas,TX,Colorado,48089,President,Donald Trump,republican,6325,8513,20191203
2016,Texas,TX,Comal,48091,President,Donald Trump,republican,45136,62178,20191203
2016,Texas,TX,Comanche,48093,President,Hillary Clinton,democrat,789,5237,20191203
2016,Texas,TX,Concho,48095,President,Donald Trump,republican,885,1068,20191203
2016,Texas,TX,Cooke,48097,President,Other,NA,422,15955,20191203
2016,Texas,TX,Coryell,48099,President,Other,NA,964,18253,20191203
2016,Texas,TX,Cottle,48101,President,Hillary Clinton,democrat,92,612,20191203
2016,Texas,TX,Crane,48103,President,Other,NA,36,1384,20191203
2016,Texas,TX,Crockett,48105,President,Donald Trump,republican,980,1395,20191203
2016,Texas,TX,Crosby,48107,President,Other,NA,79,1728,20191203
2016,Texas,TX,Culberson,48109,President,Hillary Clinton,democrat,454,767,20191203
2016,Texas,TX,Dallam,48111,President,Other,NA,61,1544,20191203
2016,Texas,TX,Dallas,48113,President,Hillary Clinton,democrat,461080,758973,20191203
2016,Texas,TX,Dawson,48115,President,Other,NA,92,3563,20191203
2016,Texas,TX,Deaf Smith,48117,President,Donald Trump,republican,2911,4216,20191203
2016,Texas,TX,Delta,48119,President,Other,NA,45,2281,20191203
2016,Texas,TX,Denton,48121,President,Other,NA,17152,298645,20191203
2016,Texas,TX,Dewitt,48123,President,Donald Trump,republican,5519,6844,20191203
2016,Texas,TX,Dickens,48125,President,Donald Trump,republican,755,909,20191203
2016,Texas,TX,Dimmit,48127,President,Donald Trump,republican,974,3225,20191203
2016,Texas,TX,Donley,48129,President,Other,NA,49,1465,20191203
2016,Texas,TX,Duval,48131,President,Other,NA,69,4168,20191203
2016,Texas,TX,Eastland,48133,President,Hillary Clinton,democrat,776,6963,20191203
2016,Texas,TX,Ector,48135,President,Donald Trump,republican,25020,36530,20191203
2016,Texas,TX,Edwards,48137,President,Donald Trump,republican,746,1073,20191203
2016,Texas,TX,Ellis,48139,President,Donald Trump,republican,44941,63673,20191203
2016,Texas,TX,El Paso,48141,President,Donald Trump,republican,55512,214008,20191203
2016,Texas,TX,Erath,48143,President,Other,NA,523,13893,20191203
2016,Texas,TX,Falls,48145,President,Donald Trump,republican,3441,5248,20191203
2016,Texas,TX,Fannin,48147,President,Donald Trump,republican,9548,12044,20191203
2016,Texas,TX,Fayette,48149,President,Donald Trump,republican,8743,11174,20191203
2016,Texas,TX,Fisher,48151,President,Other,NA,61,1729,20191203
2016,Texas,TX,Floyd,48153,President,Other,NA,50,1959,20191203
2016,Texas,TX,Foard,48155,President,Donald Trump,republican,383,513,20191203
2016,Texas,TX,Fort Bend,48157,President,Hillary Clinton,democrat,134686,262066,20191203
2016,Texas,TX,Franklin,48159,President,Hillary Clinton,democrat,665,4380,20191203
